id,code,name
op_study_type_1,VT,Licenciatura en Veterinaria
op_study_type_2,VC,Venta de cursos
op_study_type_3,UV,Personal Universidad de VIC
op_study_type_4,UP,Universidades de Psicología
op_study_type_5,UN,Universidades de Empresariales
op_study_type_6,UE,Universidades de educación
op_study_type_7,TSM,Título Superior de Música
op_study_type_8,TSIS,Técnico Superior en Integración Social
op_study_type_9,TSEI,Técnico Superior en Educación Infantil
op_study_type_10,TSD,Título superior de danza
op_study_type_11,AM,Ambulatorios / CAPS
op_study_type_12,APL,Artes Plásticas
op_study_type_13,AR,Arquitectura
op_study_type_14,ARDI,Grado en Arte y Diseño
op_study_type_15,ARPL,Magisterio en Artes Plásticas
op_study_type_16,ART,Arte
op_study_type_17,AS,Asistencia Social
op_study_type_18,AUD,Audiología
op_study_type_19,AY,Ayuntamientos
op_study_type_20,AZ,Alzheimer (Entitats)
op_study_type_21,BA,Bachillerato
op_study_type_22,BCA,Ciencias y Artes de la Comunicación
op_study_type_23,BI,Biología
op_study_type_24,BIOM,Biomedicina
op_study_type_25,BL,Bellas Artes
op_study_type_26,BO,Boletin
op_study_type_27,BOA,Bachelor of Arts
op_study_type_28,BP,Biblioteca libros de psicología
op_study_type_29,BPS,Biopsicología
op_study_type_30,BSC,Bachelor of Science
op_study_type_31,QUI,Licenciatura en Química
op_study_type_32,Publicidad,Publicidad y Relaciones Públicas
op_study_type_33,PT,Psiquiatría
op_study_type_34,PSPG,Psicopedagogía
op_study_type_35,PS,Psicología
op_study_type_36,PP,Profesores de Portugal
op_study_type_37,PL,Profesores Universitarios de Logopedia
op_study_type_38,PI,Puntos de Información
op_study_type_39,PER,Periodismo
op_study_type_40,PD,Pedagogía
op_study_type_41,CRIM,Graduada/o en Criminología
op_study_type_42,CS,Asociaciones de salud y educación
op_study_type_43,CSS,Ciencias Sociales y Sociología
op_study_type_44,CYM,Comercio y Marketing
op_study_type_45,DA,Distancia Avis
op_study_type_46,DAR,Diplomado en Artes
op_study_type_47,DEE,Doctora en Educación
op_study_type_48,DEGI,Doctorado Economía y Gestión de la Innovación
op_study_type_49,DEN,Grado en Enfermería
op_study_type_50,DGF,Diseño Gráfico
op_study_type_51,MEI,Magisterio en Educación Infantil
op_study_type_52,MEE,Magisterio en Educación Especial
op_study_type_53,ME,Magisterio
op_study_type_54,MD,MÁSTER/POSGRADO
op_study_type_55,MC,Escuelas de música
op_study_type_56,MAV,Magisterio en Artes Visuales
op_study_type_57,MAL,Magisterio en Audición y Lenguaje
op_study_type_58,MA,Asoc. malalts
op_study_type_59,M&C,Medicina y Cirugía
op_study_type_60,LTLH,Licenciada en Terapia del Lenguaje y el Habla
op_study_type_61,EFS,Entrenador de Fútbol Base
op_study_type_62,EP,Entrenador de Pádel
op_study_type_63,EPC,Título de Enseñanzas Profesionales De Percusión
op_study_type_64,ES,Educación Social
op_study_type_65,ET,Entrenador de Tenis
op_study_type_66,F,Fonoaudiológo
op_study_type_67,FI,Filología
op_study_type_68,FL,Filosofía
op_study_type_69,FP,Franquicias potenciales
op_study_type_70,FR,Franquicias CLÍNIC
op_study_type_71,LLTL,Literatura Latinoamericana
op_study_type_72,LLOL,Licenciado en Letras: Orientación Lingüística
op_study_type_73,LLCC,Licenciada en Lengua Castellana y Comunicación
op_study_type_74,LLA,Grado en Lingüística y Lenguas Aplicadas
op_study_type_75,LKL,Licenciada en Kinesiología
op_study_type_76,LING,Licenciatura en Lingüística
