Canadá;Canada
Bermudas;Bermuda
Barbuda;Barbuda
Barbados;Barbados
Bahamas;Bahamas
Antigua;Ancient
Dominica;Dominica
Estados Unidos;United States
Granada;Pomegranate
Islas Caimán;Cayman Islands
Islas Vírgenes;Virgin islands
Montserrat;Montserrat
Nevis;Nevis
Puerto Rico;Puerto Rico
República Dominicana;Dominican Republic
Trinidad y Tobago;Trinidad and Tobago
Egipto;Egypt
Marruecos;Morocco
Argelia;Algeria
Túnez;Tunisia
Libia;Libya
Gambia;Gambia
República del Senagal;Republic of the Senagal
Mauritania;Mauritania
Malí;Mali
Guinea;Guinea
Costa de Marfil;Ivory Coast
Burkina Faso;Burkina faso
Níger;Niger
Togo;Togo
Benín;Benin
Mauricio;Mauricio
Líberia;Liberia
Sierra Leona;Sierra Leone
Ghana;Ghana
Nigeria;Nigeria
Chad;Chad
República Centroafricana;Central African Republic
Camerún;Cameroon
Cabo Verde;Cape Verde
Guinea Ecuatorial;Equatorial Guinea
Gabón;Gabon
Congo;Congo
Zaire;Zaire
Angola;Angola
Guinea-Bissau;Guinea-Bissau
Isla Ascensión;Ascension Island
Seychelles;Seychelles
Sudán;Sudan
Ruanda;Rwanda
Etiopía;Ethiopia
Somalia;Somalia
Yibuti;Djibouti
Kenia;Kenya
Tanzania;Tanzania
Uganda;Uganda
Burundi;Burundi
Mozambique;Mozambique
Zambia;Zambia
Madagascar;Madagascar
Isla Reunión;Reunion Island
Zimbabue;Zimbabwe
Namibía;Namibia
Malaui;Malawi
Lesoto;Lesotho
Botsuana;Botswana
Suazilandía;Swaziland
Comoras;Comoros
Isla Mayotte;Mayotte Island
Sudáfrica;South Africa
Eritrea;Eritrea
Aruba;Aruba
Islas Feroe;Faroe Islands
Groenlandia;Greenland
Grecia;Greece
Países Bajos;Netherlands
Bélgica;Belgium
Francia;France
España;Spain
Gibraltar;Gibraltar
Portugal;Portugal
Luxemburgo;Luxembourg
Irlanda;Ireland
Islandia;Iceland
Albania;Albania
Malta;malt
Chipre;Cyprus
Finlandia;Finland
Bulgaria;Bulgaria
Hungría;Hungary
Lituania;Lithuania
Letonia;Latvia
Estonia;Estonia
Moldavia;Moldova
Armenia;Armenia
Bielorrusia;Belarus
Andorra;Andorra
Mónaco;Monaco
San Marino;San Marino
Ucrania;Ukraine
Serbia (República de);Serbia (Republic of)
Yugoslavia;Yugoslavia
Croacia;Croatia
Eslovenia;Slovenia
Bosnia y Hercegovina;Bosnia and Herzegovina
Macedonia;Macedonia
Italia;Italy
Ciudad del Vaticano;Vatican City
Rumanía;Romania
Liechtenstein;Liechtenstein
Suiza;Switzerland
República Checa;Czech Republic
Eslovaquia;Slovakia
República Eslovaca;Slovak Republic
Austria;Austria
Reino Unido;United Kingdom
Dinamarca;Denmark
Suecia;Sweden
Noruega;Norway
Polonia;Poland
Alemania;Germany
Islas Malvinas;Falkland Islands
Belice;Belize
Guatemala;Guatemala
El Salvador;The Savior
Honduras;Honduras
Nicaragua;Nicaragua
Costa Rica;Costa Rica
Panamá;Panama
San Pedro y Miquelón;Saint Pierre and Miquelon
Haití;Haiti
Perú;Peru
México;Mexico
Bahía de Guantánamo;Guantanamo Bay
Cuba;Cuba
Argentina   ;Argentina
Brasil;Brazil
Chile;Chile
Colombia;Colombia
Venezuela;Venezuela
Guadalupe;Guadeloupe
Bolivia;Bolivia
Guyana;Guyana
Ecuador;Ecuador
Guinea Francesa;French guinea
Paraguay;Paraguay
Antillas Francesas;French Antilles
Martinica;Martinique
Surinam;Surinam
Uruguay;Uruguay
Antillas Neerlandesas;Netherlands Antilles
Malasia;Malaysia
Australia;Australia
Islas Cocos-Keeling;Cocos-Keeling Islands
Indonesia;Indonesia
Filipinas;Philippines
Nueva Zelanda;New Zealand
Singapur;Singapore
Tailandia;Thailand
Islas Salomón;Solomon Islands
Isla de Tinia;Tinia Island
Isla Rota;Broken Island
Islas Saipán;Saipan Islands
Guam;Guam
Isla Christmas;Christmas island
Isla Norfolk;Norfolk island
Brunéi;Brunei
Nauru;Nauru
Papúa-Nueva Guinea;Papua New Guinea
Tonga;Tonga
Vanuatu;Vanuatu
Islas Fiyi;Fiji Islands
Palau;Palau
Islas Wallis y Futuna;Wallis and Futuna Islands
Islas Cook;Cook islands
Niue;Niue
Samoa Occidental;Western samoa
República de Kiribatí;Kiribati Republic
Nueva Caledonia;New Caledonia
Tuvalu;Tuvalu
Polinesia Francesa;French polynesia
Tokelau;Tokelau
Micronesia;Micronesia
Islas Marshall;Marshall Islands
Kazajistán;Kazakhstan
Rusia;Russia
Tayiquistán;Tajikistan
Turkmenistán;Turkmenistan
Uzbekistán;Uzbekistan
Isla Wake;Wake Island
Anguila;Eel
San Kitts;St. Kitts
Japón;Japan
Corea del Sur;South Korea
Vietnam;Vietnam
Corea del Norte;North Korea
Hong Kong;Hong Kong
Macao;Macau
Camboya;Cambodia
Laos;Laos
China;China
Bangladesh;Bangladesh
Taiwán;Taiwan
Turquía;Turkey
India;India
Pakistán;Pakistan
Afganistán;Afghanistan
Sri Lanka;Sri Lanka
Birmania;Burma
Maldivas;Maldives
Líbano;Lebanon
Jordania;Jordan
Siria;Syria
Iraq;Iraq
Kuwait;Kuwait
Arabia Saudí;Saudi Arabia
Yemen;Yemen
Omán;Oman
Emiratos Árabes Unidos;United Arab Emirates
Israel;Israel
Bahráin;Bahrain
Qatar;Qatar
Bután;Bhutan
Mongolia;Mongolia
Nepal;Nepal
Irán;Iran
Azerbaiyán;Azerbaijan
Georgia;Georgia
Kirguizistán;Kyrgyzstan
